header,txtype,sequence,qty,source,destination,period,pvt_key1,pvt_key2
Account,,,,,,,,
Axiom Foundation,ReleaseFromEndowment,101,1135.82864800,,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,101-RFE.sb,
Axiom Foundation,TransferAndLock,102,1135.82864800,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,Purchaser 1,10m1w,102-TandL.sb,
Axiom Foundation,Issue,103,1135.82864800,,,,103-Issue.sb,
Axiom Foundation,ReleaseFromEndowment,104,1418.04012200,,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,104-RFE.sb,
Axiom Foundation,TransferAndLock,105,1418.04012200,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndaisr2cfvux4ccmwzbs9z3kepszazmxmthixp55h82eab7r,1y,105-TandL.sb,
Axiom Foundation,Issue,106,1418.04012200,,,,106-Issue.sb,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
